hour,timestamp,Tair_C,Tinternal_C,T110_C,T60_C,T35_C,T20_C,T15_C,T10_C,T5_C,T0_C,T15s_C,T40s_C,Site_Name
12/23/23 16:00,2023-12-23T21:28:51Z,-3.3714285714285714,-1.68,-2.8842857142857143,-2.7328571428571427,-2.7614285714285716,-1.6085714285714285,-2.545714285714286,-2.51,-1.92,-0.9471428571428572,0.75,2.11,A4
12/23/23 17:00,2023-12-23T22:29:22Z,-2.8875,-0.6725,-2.20625,-2.16625,-2.17375,-1.01,-1.9537499999999999,-1.9,-1.4075,-0.6275,0.75,2.06875,A4
12/23/23 18:00,2023-12-23T23:30:00Z,-2.6142857142857143,0.07285714285714286,-2.1085714285714285,-1.9928571428571429,-2,-0.9485714285714285,-1.7685714285714285,-1.7057142857142857,-1.2157142857142857,-0.4857142857142857,0.75,2.06,A4
12/23/23 19:00,2023-12-24T00:31:00Z,-2.225,1.00875,-2.04,-1.89875,-1.9375,-0.8125,-1.77375,-1.7650000000000001,-1.33125,-0.68125,0.77375,2.06,A4
12/23/23 20:00,2023-12-24T01:31:42Z,-3.1714285714285717,0.13428571428571429,-2.4314285714285715,-2.4485714285714284,-2.4571428571428573,-1.51,-2.4314285714285715,-2.4485714285714284,-1.9485714285714286,-1.0728571428571427,0.75,2.06,A4
12/23/23 21:00,2023-12-24T02:28:17Z,-3.4571428571428573,-0.7857142857142857,-2.795714285714286,-2.7785714285714285,-2.7785714285714285,-2.11,-2.77,-2.787142857142857,-2.26,-1.2771428571428571,0.75,2.06,A4
12/23/23 22:00,2023-12-24T03:29:00Z,-3.5125,-1.36875,-2.735,-2.76625,-2.78125,-1.8287499999999999,-2.8125,-2.8375,-2.32125,-1.3375,0.75,2.0300000000000002,A4
12/23/23 23:00,2023-12-24T04:29:51Z,-3.5,-1.6185714285714285,-2.6357142857142857,-2.697142857142857,-2.697142857142857,-1.707142857142857,-2.7057142857142855,-2.742857142857143,-2.2514285714285713,-1.302857142857143,0.75,2.0171428571428573,A4
12/24/23 00:00,2023-12-24T05:30:22Z,-3.275,-1.6749999999999998,-2.22125,-2.3225,-2.3375,-1.53125,-2.4,-2.4387499999999998,-1.9775,-1.18,0.75,2,A4
12/24/23 01:00,2023-12-24T06:31:00Z,-2.9857142857142858,-1.542857142857143,-2.414285714285714,-2.41,-2.4585714285714286,-1.6342857142857143,-2.467142857142857,-2.51,-2.037142857142857,-1.1714285714285715,0.7414285714285714,2,A4
12/24/23 02:00,2023-12-24T07:27:51Z,-3.7142857142857144,-1.7514285714285713,-3.1185714285714283,-3.0357142857142856,-3.052857142857143,-2.374285714285714,-3.0614285714285714,-3.09,-2.552857142857143,-1.4657142857142857,0.75,2,A4
12/24/23 03:00,2023-12-24T08:28:30Z,-4.0874999999999995,-2.01,-3.58,-3.44625,-3.4699999999999998,-2.5775,-3.47125,-3.5025,-2.91375,-1.6575,0.72,2,A4
12/24/23 04:00,2023-12-24T09:29:00Z,-4.2,-2.2928571428571427,-3.142857142857143,-3.091428571428571,-3.1085714285714285,-2.125714285714286,-3.1342857142857143,-3.162857142857143,-2.6357142857142857,-1.4742857142857142,0.7071428571428571,2,A4
12/24/23 05:00,2023-12-24T10:29:52Z,-3.525,-2.1425,-2.7800000000000002,-2.77375,-2.7975,-1.79875,-2.8525,-2.885,-2.3525,-1.28125,0.705,2,A4
12/24/23 06:00,2023-12-24T11:30:25Z,-3.085714285714286,-1.9114285714285715,-2.027142857142857,-2.0814285714285714,-2.1457142857142855,-1.3514285714285714,-2.242857142857143,-2.3314285714285714,-1.9028571428571428,-1.0999999999999999,0.7342857142857142,2,A4
12/24/23 07:00,2023-12-24T12:27:00Z,-2.4571428571428573,-1.4914285714285713,-1.7257142857142858,-1.6342857142857143,-1.7057142857142857,-1.062857142857143,-1.8057142857142856,-1.8942857142857144,-1.5457142857142856,-0.9128571428571428,0.8685714285714285,2,A4
12/24/23 08:00,2023-12-24T13:28:00Z,-2.075,-1.06375,-1.555,-1.4849999999999999,-1.59375,-0.67375,-1.75125,-1.86125,-1.525,-0.9225,0.9,1.9775,A4
12/24/23 09:00,2023-12-24T14:28:34Z,-1.8142857142857143,-0.8228571428571428,-1.127142857142857,-1.09,-1.2257142857142858,-0.16285714285714287,-1.3757142857142857,-1.502857142857143,-1.2085714285714286,-0.75,0.8685714285714285,1.9828571428571429,A4
12/24/23 10:00,2023-12-24T15:29:15Z,-1.2750000000000001,-0.40750000000000003,-0.64125,-0.6025,-0.7025,-0.013749999999999998,-0.8525,-0.9625,-0.7125,-0.455,0.72875,1.94,A4
12/24/23 11:00,2023-12-24T16:30:00Z,-1.1285714285714286,-0.03571428571428571,-0.8485714285714285,-0.7342857142857143,-0.8228571428571428,-0.09714285714285714,-0.9485714285714285,-1.062857142857143,-0.8042857142857143,-0.4757142857142857,0.7785714285714286,1.9485714285714286,A4
12/24/23 12:00,2023-12-24T17:30:45Z,-1.475,-0.0075,-0.72875,-0.635,-0.72,0.43125,-0.8375,-0.95375,-0.665,-0.3925,0.69,1.94,A4
12/24/23 13:00,2023-12-24T18:31:25Z,-0.7142857142857143,0.45571428571428574,0.06285714285714286,0.2057142857142857,0.12714285714285714,1.1271428571428572,0.09142857142857143,-0.028571428571428574,0.12714285714285714,0.04428571428571428,0.69,1.957142857142857,A4
12/24/23 14:00,2023-12-24T19:28:00Z,-0.05714285714285715,1.2342857142857142,0.4114285714285714,0.5457142857142857,0.44857142857142857,1.8342857142857143,0.39285714285714285,0.28714285714285714,0.42142857142857143,0.18,0.69,1.94,A4
12/24/23 15:00,2023-12-24T20:29:00Z,-0.025,1.65625,0.60875,0.70375,0.60875,1.9249999999999998,0.54,0.43875000000000003,0.52375,0.265,0.69,1.94,A4
12/24/23 16:00,2023-12-24T21:29:51Z,0.18571428571428572,2.0014285714285713,0.8585714285714285,1.0014285714285713,0.9114285714285715,2.2671428571428573,0.8242857142857143,0.7057142857142857,0.75,0.39571428571428574,0.69,1.94,A4
12/24/23 17:00,2023-12-24T22:30:30Z,0.6625,2.5775,1.1425,1.29,1.21875,2.6875,1.18,1.095,1.12625,0.60375,0.69,1.94,A4
12/24/23 18:00,2023-12-24T23:31:17Z,0.37142857142857144,2.7671428571428573,1.0457142857142858,1.1614285714285715,1.0999999999999999,2.26,1.0014285714285713,0.8957142857142857,0.9471428571428572,0.52,0.6985714285714285,1.94,A4
12/24/23 19:00,2023-12-25T00:28:00Z,0.17142857142857143,2.617142857142857,0.5557142857142857,0.6528571428571429,0.5728571428571428,1.6714285714285715,0.5028571428571429,0.3828571428571429,0.5285714285714286,0.35714285714285715,0.6985714285714285,1.94,A4
12/24/23 20:00,2023-12-25T01:29:00Z,-0.4375,2.0012499999999998,-0.10125,0.04125,-0.025,0.8375,-0.1075,-0.23,-0.0012500000000000011,0.10250000000000001,0.6975,1.94,A4
12/24/23 21:00,2023-12-25T02:29:42Z,-0.7285714285714285,1.3928571428571428,-0.1457142857142857,-0.025714285714285714,-0.08,0.7885714285714285,-0.22428571428571428,-0.32142857142857145,-0.06,0.06,0.69,1.94,A4
12/24/23 22:00,2023-12-25T03:30:22Z,-0.625,1.12625,-0.06875,0.0525,-0.0225,0.8049999999999999,-0.14500000000000002,-0.25,-0.0375,0.06,0.705,1.94,A4
12/24/23 23:00,2023-12-25T04:31:00Z,-0.6,1.0342857142857143,0.028571428571428574,0.15428571428571428,0.08,0.7428571428571429,-0.04428571428571428,-0.17142857142857143,0.027142857142857142,0.09,0.7242857142857143,1.94,A4
12/25/23 00:00,2023-12-25T05:28:00Z,-0.3142857142857143,1.0514285714285714,0.2757142857142857,0.39714285714285713,0.29285714285714287,1.2585714285714287,0.1285714285714286,-0.008571428571428572,0.16428571428571428,0.13857142857142857,0.7071428571428571,1.9228571428571428,A4
12/25/23 01:00,2023-12-25T06:28:45Z,-0.15,1.1824999999999999,0.4475,0.52375,0.40875,1.2975,0.25,0.095,0.265,0.1825,0.6975,1.9175,A4
12/25/23 02:00,2023-12-25T07:29:25Z,-0.05714285714285715,1.2757142857142858,0.5914285714285714,0.6442857142857142,0.5371428571428571,1.35,0.3414285714285714,0.19,0.33,0.20714285714285716,0.6985714285714285,1.9228571428571428,A4
12/25/23 03:00,2023-12-25T08:30:07Z,0.0125,1.41,0.63375,0.69125,0.5700000000000001,1.60375,0.3825,0.22125,0.36,0.20500000000000002,0.6975,1.9249999999999998,A4
12/25/23 04:00,2023-12-25T09:31:00Z,-0.028571428571428574,1.4657142857142857,0.5728571428571428,0.6242857142857143,0.5285714285714286,1.5457142857142858,0.3314285714285714,0.19,0.32285714285714284,0.21571428571428572,0.7071428571428571,1.897142857142857,A4
